Sequence,Mean Δt (frames),#Matching Points,Δt Values
M041_035_0_0_condition_W029.npy,3.00,2,4;2
M041_039_0_0_condition_M003.npy,No matching points,0,[]
M041_039_0_0_condition_M005.npy,No matching points,0,[]
M041_039_0_0_condition_M007.npy,No matching points,0,[]
M041_039_0_0_condition_M009.npy,No matching points,0,[]
M041_039_0_0_condition_M011.npy,No matching points,0,[]
M041_039_0_0_condition_M012.npy,No matching points,0,[]
M041_039_0_0_condition_M013.npy,No matching points,0,[]
M041_039_0_0_condition_M019.npy,No matching points,0,[]
M041_039_0_0_condition_M022.npy,No matching points,0,[]
M041_039_0_0_condition_M023.npy,No matching points,0,[]
M041_039_0_0_condition_M024.npy,No matching points,0,[]
M041_039_0_0_condition_M025.npy,No matching points,0,[]
M041_039_0_0_condition_M026.npy,No matching points,0,[]
M041_039_0_0_condition_M027.npy,No matching points,0,[]
M041_039_0_0_condition_M028.npy,No matching points,0,[]
M041_039_0_0_condition_M029.npy,No matching points,0,[]
M041_039_0_0_condition_M030.npy,No matching points,0,[]
M041_039_0_0_condition_M031.npy,No matching points,0,[]
M041_039_0_0_condition_W009.npy,No matching points,0,[]
M041_039_0_0_condition_W011.npy,No matching points,0,[]
M041_039_0_0_condition_W014.npy,No matching points,0,[]
M041_039_0_0_condition_W015.npy,No matching points,0,[]
M041_039_0_0_condition_W016.npy,No matching points,0,[]
M041_039_0_0_condition_W018.npy,No matching points,0,[]
M041_039_0_0_condition_W019.npy,No matching points,0,[]
M041_039_0_0_condition_W021.npy,No matching points,0,[]
M041_039_0_0_condition_W023.npy,No matching points,0,[]
M041_039_0_0_condition_W024.npy,No matching points,0,[]
M041_039_0_0_condition_W025.npy,No matching points,0,[]
M041_039_0_0_condition_W026.npy,No matching points,0,[]
M041_039_0_0_condition_W028.npy,No matching points,0,[]
M041_039_0_0_condition_W029.npy,No matching points,0,[]
M041_040_0_0_condition_M003.npy,No matching points,0,[]
M041_040_0_0_condition_M005.npy,No matching points,0,[]
M041_040_0_0_condition_M007.npy,No matching points,0,[]
M041_040_0_0_condition_M009.npy,No matching points,0,[]
M041_040_0_0_condition_M011.npy,No matching points,0,[]
M041_040_0_0_condition_M012.npy,No matching points,0,[]
M041_040_0_0_condition_M013.npy,No matching points,0,[]
M041_040_0_0_condition_M019.npy,No matching points,0,[]
M041_040_0_0_condition_M022.npy,No matching points,0,[]
M041_040_0_0_condition_M023.npy,No matching points,0,[]
M041_040_0_0_condition_M024.npy,No matching points,0,[]
M041_040_0_0_condition_M025.npy,No matching points,0,[]
M041_040_0_0_condition_M026.npy,No matching points,0,[]
M041_040_0_0_condition_M027.npy,No matching points,0,[]
M041_040_0_0_condition_M028.npy,No matching points,0,[]
M041_040_0_0_condition_M029.npy,No matching points,0,[]
M041_040_0_0_condition_M030.npy,No matching points,0,[]
M041_040_0_0_condition_M031.npy,No matching points,0,[]
M041_040_0_0_condition_W009.npy,No matching points,0,[]
M041_040_0_0_condition_W011.npy,No matching points,0,[]
M041_040_0_0_condition_W014.npy,No matching points,0,[]
M041_040_0_0_condition_W015.npy,No matching points,0,[]
M041_040_0_0_condition_W016.npy,No matching points,0,[]
M041_040_0_0_condition_W018.npy,No matching points,0,[]
M041_040_0_0_condition_W019.npy,No matching points,0,[]
M041_040_0_0_condition_W021.npy,No matching points,0,[]
M041_040_0_0_condition_W023.npy,No matching points,0,[]
M041_040_0_0_condition_W024.npy,No matching points,0,[]
M041_040_0_0_condition_W025.npy,No matching points,0,[]
M041_040_0_0_condition_W026.npy,No matching points,0,[]
M041_040_0_0_condition_W028.npy,No matching points,0,[]
M041_040_0_0_condition_W029.npy,No matching points,0,[]
M042_034_0_0_condition_M003.npy,1.14,7,0;3;2;0;1;1;1
M042_034_0_0_condition_M005.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_M007.npy,1.14,7,0;3;2;0;1;1;1
M042_034_0_0_condition_M009.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_M011.npy,1.50,2,0;3
M042_034_0_0_condition_M012.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_M013.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_M019.npy,1.50,2,0;3
M042_034_0_0_condition_M022.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_M023.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_M024.npy,1.20,5,0;2;0;0;4
M042_034_0_0_condition_M025.npy,1.25,8,0;3;2;0;1;1;1;2
M042_034_0_0_condition_M026.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_M027.npy,1.14,7,0;3;2;0;1;1;1
M042_034_0_0_condition_M028.npy,1.14,7,0;3;2;0;1;1;1
M042_034_0_0_condition_M029.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_M030.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_M031.npy,1.50,2,0;3
M042_034_0_0_condition_W009.npy,1.50,2,0;3
M042_034_0_0_condition_W011.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_W014.npy,1.50,2,0;3
M042_034_0_0_condition_W015.npy,1.29,7,0;3;2;0;1;1;2
M042_034_0_0_condition_W016.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_W018.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_W019.npy,1.50,2,0;3
M042_034_0_0_condition_W021.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_W023.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_W024.npy,1.14,7,0;3;2;0;1;1;1
M042_034_0_0_condition_W025.npy,1.50,2,0;3
M042_034_0_0_condition_W026.npy,1.29,7,0;3;2;0;1;1;2
M042_034_0_0_condition_W028.npy,1.17,6,0;3;2;0;1;1
M042_034_0_0_condition_W029.npy,1.17,6,0;3;2;0;1;1
M042_035_0_0_condition_M003.npy,No matching points,0,[]
M042_035_0_0_condition_M005.npy,No matching points,0,[]
M042_035_0_0_condition_M007.npy,No matching points,0,[]
M042_035_0_0_condition_M009.npy,No matching points,0,[]
M042_035_0_0_condition_M011.npy,No matching points,0,[]
M042_035_0_0_condition_M012.npy,No matching points,0,[]
M042_035_0_0_condition_M013.npy,No matching points,0,[]
M042_035_0_0_condition_M019.npy,No matching points,0,[]
M042_035_0_0_condition_M022.npy,No matching points,0,[]
M042_035_0_0_condition_M023.npy,No matching points,0,[]
M042_035_0_0_condition_M024.npy,No matching points,0,[]
M042_035_0_0_condition_M025.npy,No matching points,0,[]
M042_035_0_0_condition_M026.npy,No matching points,0,[]
M042_035_0_0_condition_M027.npy,No matching points,0,[]
M042_035_0_0_condition_M028.npy,No matching points,0,[]
M042_035_0_0_condition_M029.npy,No matching points,0,[]
M042_035_0_0_condition_M030.npy,No matching points,0,[]
M042_035_0_0_condition_M031.npy,No matching points,0,[]
M042_035_0_0_condition_W009.npy,No matching points,0,[]
M042_035_0_0_condition_W011.npy,No matching points,0,[]
M042_035_0_0_condition_W014.npy,No matching points,0,[]
M042_035_0_0_condition_W015.npy,No matching points,0,[]
M042_035_0_0_condition_W016.npy,No matching points,0,[]
M042_035_0_0_condition_W018.npy,No matching points,0,[]
M042_035_0_0_condition_W019.npy,No matching points,0,[]
M042_035_0_0_condition_W021.npy,No matching points,0,[]
M042_035_0_0_condition_W023.npy,No matching points,0,[]
M042_035_0_0_condition_W024.npy,No matching points,0,[]
M042_035_0_0_condition_W025.npy,No matching points,0,[]
M042_035_0_0_condition_W026.npy,No matching points,0,[]
M042_035_0_0_condition_W028.npy,No matching points,0,[]
M042_035_0_0_condition_W029.npy,No matching points,0,[]
M042_039_0_0_condition_M003.npy,9.00,1,9
M042_039_0_0_condition_M005.npy,9.00,1,9
M042_039_0_0_condition_M007.npy,9.00,1,9
M042_039_0_0_condition_M009.npy,9.00,1,9
M042_039_0_0_condition_M011.npy,7.50,2,9;6
M042_039_0_0_condition_M012.npy,7.50,2,9;6
M042_039_0_0_condition_M013.npy,9.00,1,9
M042_039_0_0_condition_M019.npy,7.50,2,9;6
M042_039_0_0_condition_M022.npy,7.50,2,9;6
M042_039_0_0_condition_M023.npy,9.00,1,9
M042_039_0_0_condition_M024.npy,9.00,1,9
M042_039_0_0_condition_M025.npy,9.00,1,9
M042_039_0_0_condition_M026.npy,7.50,2,9;6
M042_039_0_0_condition_M027.npy,7.50,2,9;6
M042_039_0_0_condition_M028.npy,9.00,1,9
M042_039_0_0_condition_M029.npy,9.00,1,9
M042_039_0_0_condition_M030.npy,7.50,2,9;6
M042_039_0_0_condition_M031.npy,7.50,2,9;6
M042_039_0_0_condition_W009.npy,7.50,2,9;6
M042_039_0_0_condition_W011.npy,7.50,2,9;6
M042_039_0_0_condition_W014.npy,9.00,1,9
M042_039_0_0_condition_W015.npy,9.00,1,9
M042_039_0_0_condition_W016.npy,9.00,1,9
M042_039_0_0_condition_W018.npy,7.50,2,9;6
M042_039_0_0_condition_W019.npy,7.50,2,9;6
M042_039_0_0_condition_W021.npy,9.00,1,9
M042_039_0_0_condition_W023.npy,7.50,2,9;6
M042_039_0_0_condition_W024.npy,9.00,1,9
M042_039_0_0_condition_W025.npy,7.50,2,9;6
M042_039_0_0_condition_W026.npy,9.00,1,9
M042_039_0_0_condition_W028.npy,9.00,1,9
M042_039_0_0_condition_W029.npy,7.50,2,9;6
M042_040_0_0_condition_M003.npy,No matching points,0,[]
M042_040_0_0_condition_M005.npy,No matching points,0,[]
M042_040_0_0_condition_M007.npy,No matching points,0,[]
M042_040_0_0_condition_M009.npy,No matching points,0,[]
M042_040_0_0_condition_M011.npy,No matching points,0,[]
M042_040_0_0_condition_M012.npy,No matching points,0,[]
M042_040_0_0_condition_M013.npy,No matching points,0,[]
M042_040_0_0_condition_M019.npy,No matching points,0,[]
M042_040_0_0_condition_M022.npy,No matching points,0,[]
M042_040_0_0_condition_M023.npy,No matching points,0,[]
M042_040_0_0_condition_M024.npy,No matching points,0,[]
M042_040_0_0_condition_M025.npy,No matching points,0,[]
M042_040_0_0_condition_M026.npy,No matching points,0,[]
M042_040_0_0_condition_M027.npy,No matching points,0,[]
M042_040_0_0_condition_M028.npy,No matching points,0,[]
M042_040_0_0_condition_M029.npy,No matching points,0,[]
M042_040_0_0_condition_M030.npy,No matching points,0,[]
M042_040_0_0_condition_M031.npy,No matching points,0,[]
M042_040_0_0_condition_W009.npy,No matching points,0,[]
M042_040_0_0_condition_W011.npy,No matching points,0,[]
M042_040_0_0_condition_W014.npy,No matching points,0,[]
M042_040_0_0_condition_W015.npy,No matching points,0,[]
M042_040_0_0_condition_W016.npy,No matching points,0,[]
M042_040_0_0_condition_W018.npy,No matching points,0,[]
M042_040_0_0_condition_W019.npy,No matching points,0,[]
M042_040_0_0_condition_W021.npy,No matching points,0,[]
M042_040_0_0_condition_W023.npy,No matching points,0,[]
M042_040_0_0_condition_W024.npy,No matching points,0,[]
M042_040_0_0_condition_W025.npy,No matching points,0,[]
M042_040_0_0_condition_W026.npy,No matching points,0,[]
M042_040_0_0_condition_W028.npy,No matching points,0,[]
M042_040_0_0_condition_W029.npy,No matching points,0,[]
W037_034_0_0_condition_M003.npy,3.00,5,0;3;3;3;6
W037_034_0_0_condition_M005.npy,2.60,5,0;3;3;1;6
W037_034_0_0_condition_M007.npy,2.80,5,0;3;3;3;5
W037_034_0_0_condition_M009.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_M011.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_M012.npy,2.60,5,0;3;3;1;6
W037_034_0_0_condition_M013.npy,3.00,5,0;3;3;3;6
W037_034_0_0_condition_M019.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_M022.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_M023.npy,3.00,5,0;3;3;3;6
W037_034_0_0_condition_M024.npy,3.33,3,1;3;6
W037_034_0_0_condition_M025.npy,2.67,6,0;3;3;3;1;6
W037_034_0_0_condition_M026.npy,3.00,3,0;3;6
W037_034_0_0_condition_M027.npy,3.00,5,0;3;3;3;6
W037_034_0_0_condition_M028.npy,3.00,5,0;3;3;3;6
W037_034_0_0_condition_M029.npy,2.60,5,0;3;3;1;6
W037_034_0_0_condition_M030.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_M031.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_W009.npy,3.00,4,0;3;3;6
W037_034_0_0_condition_W011.npy,3.00,3,0;3;6
W037_034_0_0_condition_W014.npy,2.60,5,0;3;3;1;6
